代码,日期,股票名字,收盘价,涨幅%,成交额(万元),自由流通市值(万元),集合竞价成交额(万元),集合竞价涨幅%,首次涨停时间,最后涨停时间,连板数,涨停统计
002062.SZ,20250918,宏润建设,11.31,10.02,82567.03,806682.1715160001,372.416,2.9182879377432025,9:34:24,14:47:36,1.0, 1/1
600498.SH,20250918,烽火通信,28.88,10.02,428349.75,1942159.7349039998,441.2625,0.0,13:1:24,14:47:51,1.0, 1/1
605089.SH,20250918,味知香,30.09,10.02,22263.41,107987.58176399999,94.944,0.9140767824497242,14:9:34,14:9:34,1.0, 1/1
002476.SZ,20250918,宝莫股份,6.04,10.02,59824.54,290574.807876,11.6937,0.0,13:46:9,14:55:0,1.0, 1/1
603988.SH,20250918,中电电机,31.86,10.01,95379.63,331422.452064,1612.0338,4.5925414364640815,9:31:27,14:56:59,2.0, 2/2
002402.SZ,20250918,和而泰,43.95,10.01,581916.36,3422084.9942100006,2995.344,-0.8760951188986232,9:51:24,14:44:30,1.0, 1/1
603016.SH,20250918,新宏泰,29.78,10.01,30956.77,199272.2744,8.124,0.036941263391199186,13:33:44,14:50:47,1.0, 1/1
600706.SH,20250918,曲江文旅,11.87,10.01,62971.85,175105.12896799998,84.5936,0.0,14:30:23,14:30:23,1.0, 1/1
002674.SZ,20250918,兴业科技,15.61,10.01,4579.25,211890.299222,1790.467,10.007047216349552,9:25:0,9:25:0,1.0, 1/1
002949.SZ,20250918,华阳国际,15.94,10.01,20904.55,136410.762942,10.767,0.41407867494824835,10:4:39,10:4:39,1.0, 1/1
603626.SH,20250918,科森科技,17.7,10.01,240890.62,691563.30033,6591.0156,6.525792417650722,9:35:40,14:2:22,3.0, 3/3
001234.SZ,20250918,泰慕士,36.5,10.01,6366.51,109939.82500000001,4155.014,10.006027727546707,9:25:0,9:25:0,4.0, 4/4
001389.SZ,20250918,广合科技,84.33,10.01,168664.55,1266995.67714,201.4848,-0.4435168275502277,10:53:39,14:48:12,1.0, 1/1
600143.SH,20250918,金发科技,24.08,10.0,1349497.96,5025123.176584,10808.7888,3.426222019186853,,,,
603186.SH,20250918,华正新材,43.44,10.0,80434.66,364599.64363199996,57.3475,0.1519371992909413,13:34:58,14:50:32,1.0, 1/1
603757.SH,20250918,大元泵业,54.77,10.0,157777.7,444180.64154300006,903.07,-1.5866639887527567,9:37:8,14:45:17,1.0, 1/1
601869.SH,20250918,长飞光纤,109.65,10.0,270330.75,1168578.5371500002,3677.1952,0.0,14:50:1,14:50:1,1.0, 2/3
605288.SH,20250918,凯迪股份,122.98,10.0,48641.14,220243.799776,362.232,0.0,9:50:10,14:48:13,1.0, 2/3
605255.SH,20250918,天普股份,83.6,10.0,5158.12,280227.19999999995,2420.22,9.999999999999986,9:25:3,9:25:3,1.0, 14/27
603297.SH,20250918,永新光学,119.02,10.0,77621.92,398385.46979,5399.9374,9.999999999999986,9:25:3,14:50:0,2.0, 2/2
600487.SH,20250918,亨通光电,22.22,10.0,415105.54,3918845.336274,1519.6014,0.6930693069306937,9:46:11,14:12:50,1.0, 1/1
002768.SZ,20250918,国恩股份,52.47,10.0,35662.49,620447.911875,52.836,-0.20964360587002462,13:12:21,13:12:21,1.0, 1/1
000981.SZ,20250918,山子高科,4.07,10.0,680733.18,2242311.865541,34942.84,8.108108108108091,9:32:0,14:43:33,5.0, 8/16
603686.SH,20250918,福龙马,21.02,9.99,194656.42,711839.155408,535.961,0.9942438513867113,10:50:4,14:43:43,1.0, 1/1
002975.SZ,20250918,博杰股份,69.78,9.99,147685.15,607799.333028,2900.3994,4.52395964691048,9:41:12,14:52:48,1.0, 1/1
600699.SH,20250918,均胜电子,36.88,9.99,48662.54,3103253.596664,5385.9736,9.991052788547572,9:25:2,9:25:2,3.0, 5/10
600651.SH,20250918,飞乐音响,9.8,9.99,146708.65,855646.0203200001,2445.4577,4.489337822671158,9:47:0,14:52:12,2.0, 3/5
